"iWine","Type","Color","Category","Size","Currency","Value","Price","TotalQuantity","Quantity","Pending","Vintage","Wine","Locale","Producer","Varietal","MasterVarietal","Designation","Vineyard","Country","Region","SubRegion","Appellation","BeginConsume","EndConsume","WindowSource","LikeVotes","LikePercent","LikeIt","PNotes","PScore","CNotes","CScore","WA","WAWeb","IWC","IWCWeb","WS","WSWeb","WE","WEWeb","BR","BRWeb","GV","GVWeb","LF","LFWeb","LD","LDWeb","SJ","SJWeb","GA","GAWeb","WWR","WWRWeb","TT","TTWeb","FP","FPWeb"
"2441414","Red","Red","Dry","750ml","SEK","130","130","1","1","0","2014","Agricola Punica Montessu Isola dei Nuraghi IGT","Italy, Sardinia, Isola dei Nuraghi IGT","Agricola Punica","Carignan Blend","Carignan","Montessu","Unknown","Italy","Sardinia","Unknown","Isola dei Nuraghi IGT","9999","9999","Community Average","23","0,956521739130435","","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5393945","White","White","Dry","750ml","SEK","300","300","1","1","0","2023","Ailala Ribeiro Ailalelo Godello de Altura","Spain, Galicia, Ribeiro","Ailala","Godello","Godello","Ailalelo Godello de Altura","Unknown","Spain","Galicia","Unknown","Ribeiro","9999","9999","none","0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3641530","White","White","Dry","750ml","SEK","185","185","1","1","0","2019","Albamar Rías Baixas","Spain, Galicia, Rías Baixas","Albamar","Albariño","Albariño","Unknown","Unknown","Spain","Galicia","Unknown","Rías Baixas","9999","9999","Community Average","15","0,933333333333333","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5676133","Red","Red","Dry","750ml","SEK","209","209","1","1","0","2023","Alberto Orte Vara Y Pulgar","Spain, Andalucía","Alberto Orte","Tintilla de Rota","Graciano","Vara Y Pulgar","Unknown","Spain","Andalucía","Unknown","Unknown","9999","9999","Community Average","3","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3507845","Red","Red","Dry","750ml","SEK","319","319","1","1","0","2011","Alfa Crux Corte Uco","Argentina, Mendoza, Valle de Uco","Alfa Crux","Red Blend","Red Blend","Corte Uco","Unknown","Argentina","Mendoza","Valle de Uco","Unknown","9999","9999","Community Average","11","1","","","","11","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5395120","White","White","Dry","750ml","SEK","349","349","1","1","0","2024","Alheit Vineyards Cartology Bushvines","South Africa, Western Cape","Alheit Vineyards","Chenin Blanc","Chenin Blanc","Cartology Bushvines","Unknown","South Africa","Western Cape","Unknown","Unknown","9999","9999","Community Average","17","1","","","","9","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3236908","White - Sparkling","White","Sparkling","750ml","SEK","0","0","1","1","0","1001","Andiamo Prosecco","Italy, Veneto / Friuli-Venezia Giulia, Prosecco","Andiamo","Glera","Glera","Unknown","Unknown","Italy","Veneto / Friuli-Venezia Giulia","Unknown","Prosecco","9999","9999","none","0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3051596","Red","Red","Dry","750ml","SEK","900","900","1","1","0","2017","Domaine Marquis d'Angerville Volnay 1er Cru Les Fremiets","France, Burgundy, Côte de Beaune, Volnay 1er Cru","Domaine Marquis d'Angerville","Pinot Noir","Pinot Noir","Unknown","Les Fremiets","France","Burgundy","Côte de Beaune","Volnay 1er Cru","9999","9999","Community Average","13","1","","","","33","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4475702","Red","Red","Dry","750ml","SEK","151","151","1","1","0","2020","Château D'Anglès Coteaux du Languedoc La Clape Classique","France, Languedoc Roussillon, Languedoc, Coteaux du Languedoc La Clape","Château D'Anglès","Syrah Blend","Syrah","Classique","Unknown","France","Languedoc Roussillon","Languedoc","Coteaux du Languedoc La Clape","9999","9999","Community Average","2","1","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4945051","White","White","Dry","750ml","SEK","199","199","1","1","0","2023","Anselmo Mendes Alvarinho Contacto","Portugal, Minho, Vinho Verde","Anselmo Mendes","Alvarinho","Albariño","Contacto","Unknown","Portugal","Minho","Unknown","Vinho Verde","9999","9999","Community Average","19","1","","","","22","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3969788","Red","Red","Dry","750ml","SEK","259","259","1","1","0","2019","Bodegas y Vinedos Artuke Rioja Finca de los locos","Spain, La Rioja, La Rioja Alavesa, Rioja","Bodegas y Vinedos Artuke","Tempranillo Blend","Tempranillo","Finca de los locos","Unknown","Spain","La Rioja","La Rioja Alavesa","Rioja","9999","9999","Community Average","2","1","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1588102","White - Fortified","White","Fortified","750ml","SEK","0","0","1","1","0","2003","Bacalhoa Moscatel de Setúbal","Portugal, Península de Setúbal, Moscatel de Setúbal","Bacalhoa","Moscatel","Muscat","Unknown","Unknown","Portugal","Península de Setúbal","Unknown","Moscatel de Setúbal","9999","9999","Community Average","1","1","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4856930","Red","Red","Dry","750ml","SEK","319","319","2","2","0","2022","Badenhorst Family Wines Cinsault Ramnasgras","South Africa, Coastal Region, Swartland","Badenhorst Family Wines","Cinsault","Cinsaut","Unknown","Ramnasgras","South Africa","Coastal Region","Swartland","Unknown","9999","9999","Community Average","1","1","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4990789","White","White","Dry","750ml","SEK","169","169","2","2","0","2023","Badenhorst Family Wines Secateurs Riviera","South Africa, Coastal Region, Swartland","Badenhorst Family Wines","White Blend","White Blend","Secateurs Riviera","Unknown","South Africa","Coastal Region","Swartland","Unknown","9999","9999","Community Average","5","1","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3984249","White","White","Dry","750ml","SEK","249","249","2","2","0","2020","Baettig Chardonnay Los Parientes","Chile, Malleco Valley, Traiguen","Baettig","Chardonnay","Chardonnay","Unknown","Los Parientes","Chile","Malleco Valley","Unknown","Traiguen","9999","9999","Community Average","8","1","","","","11","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3836733","Red","Red","Dry","750ml","SEK","299","299","1","1","0","2018","Bodegas Baigorri Rioja Reserva","Spain, La Rioja, La Rioja Alavesa, Rioja","Bodegas Baigorri","Tempranillo","Tempranillo","Reserva","Unknown","Spain","La Rioja","La Rioja Alavesa","Rioja","9999","9999","Community Average","8","1","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2454736","Red","Red","Dry","750ml","SEK","450","450","2","2","0","2015","Franck Balthazar Cornas Chaillot","France, Rhône, Northern Rhône, Cornas","Franck Balthazar","Syrah","Syrah","Unknown","Chaillot","France","Rhône","Northern Rhône","Cornas","9999","9999","Community Average","18","1","","","","41","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2454737","Red","Red","Dry","750ml","SEK","450","450","2","2","0","2015","Franck Balthazar Cornas Cuvée Casimir Balthazar","France, Rhône, Northern Rhône, Cornas","Franck Balthazar","Syrah","Syrah","Cuvée Casimir Balthazar","Unknown","France","Rhône","Northern Rhône","Cornas","9999","9999","Community Average","6","1","","","","12","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2954823","Red","Red","Dry","750ml","SEK","349","349","1","1","0","2014","Luigi Baudana Barolo Cerretta","Italy, Piedmont, Langhe, Barolo","Luigi Baudana","Nebbiolo","Nebbiolo","Unknown","Cerretta","Italy","Piedmont","Langhe","Barolo","9999","9999","Community Average","1","1","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2377924","Red","Red","Dry","750ml","SEK","0","0","1","1","0","2012","Luigi Baudana Barolo Serralunga d'Alba","Italy, Piedmont, Langhe, Barolo","Luigi Baudana","Nebbiolo","Nebbiolo","Unknown","Serralunga d'Alba","Italy","Piedmont","Langhe","Barolo","9999","9999","Community Average","8","1","","","","14","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2575137","White - Sweet/Dessert","White","Sweet/Dessert","750ml","SEK","0","0","1","1","0","2014","Château Baulac Dodijos","France, Bordeaux, Sauternais, Sauternes","Château Baulac Dodijos","Sémillon-Sauvignon Blanc Blend","Sémillon-Sauvignon Blanc Blend","Unknown","Unknown","France","Bordeaux","Sauternais","Sauternes","9999","9999","Community Average","1","1","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
